Headline,Body_ID,Stance
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,3
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,0
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",137,3
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,3
Spider burrowed through tourist's stomach and up into his chest,1923,1
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,0
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",962,3
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,3
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,0
British Aid Worker Confirmed Murdered By ISIS,882,3
Gateway Pundit,2327,2
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,0
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,3
"No, that high school kid didn't make $72 million trading stocks",2132,3
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",47,2
Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,3
Boko Haram Denies Nigeria Cease-Fire Claim,2463,2
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,0
N. Korea’s Kim has leg injury but in control,570,3
ISIL Beheads American Photojournalist in Iraq,608,2
Tropical spider burrows under man's skin through scar,1500,3
Boko Haram ceasefire ignored as violence flares in Borno state,1681,2
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,3
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,3
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,0
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,0
"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",56,3
Christian Bale Exits Steve Jobs Movie (Exclusive),1658,3
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,3
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,2
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,3
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1896,2
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",2344,3
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",625,3
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2176,3
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,2
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,0
Would-be rapist has penis severed by angry mob,1040,3
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,3
Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,3
"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",280,3
Nasa questions whether crater in Nicaragua caused by meteorite,534,3
Seth Rogen Is Woz,213,3
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,3
Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,3
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,3
Student accidentally sets college on fire during fireworks proposal,1592,0
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",2248,3
Rumors of ISIS leader's death debunked,1255,3
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1120,3
Boko Haram ceasefire ignored as violence flares in Borno state,2045,3
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,3
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,3
Pope Francis turns out not to have made pets in heaven comment,1905,1
British rapper a suspect in ISIS beheading,2295,3
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,0
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2406,3
Bali Awry,181,3
Islamic State Leader al-Baghdadi “Not Dead”,2036,3
Eggnog-chugging contest leads to hospital stay,941,3
"No, it's not Tiger Woods selling an island in Lake Mälaren",965,1
"Why the Gold Apple Watch Edition Must Cost $10,000",816,3
Would-be rapist has penis severed by angry mob,2106,3
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,367,3
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,3
Amazon's first brick-and-mortar store said to open in Manhattan,1934,3
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1500,3
"Islamic State leader's family detained by Lebanon, officials say",703,2
US confirms death of Somalia terror group leader,167,3
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,3
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,3
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),724,3
Indian civil servant sacked 'after 24-year sickie',2441,0
Batmobile wasn't stolen: Cops,1338,3
Michael Brown shooting audio caught on tape?,2248,3
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,3
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,3
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',32,2
Saudi fatwa banning snowmen triggers heated debate,26,3
Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,3
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,0
Everyone chill! Banksy has NOT been arrested,1898,3
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,3
New Audio Shows Michael Brown Was Shot at 11 Times,1435,3
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",190,3
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1808,3
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2246,2
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,0
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",1362,2
Jihadi John identity revealed as Mohammed Emwazi: live,2033,3
IS militant 'Jihadi John' named as Mohammed Emwazi from London,472,3
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,3
Islamic State militants allegedly used chlorine gas against Iraqi security forces,1590,2
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,3
Zack Snyder Responds to Fake Stolen Batmobile Report,702,3
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1165,3
Priest who died for 48 minutes says he met God and she’s a woman,1720,3
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,3
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1832,3
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,3
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,1374,3
"Video showing American journalist beheaded believed real, officials and family say",2404,3
Canadian Soldier Shot At Ottawa War Memorial: Report,1744,3
Audio recording allegedly captures moment Michael Brown was shot,1832,3
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,3
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,0
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,0
"NYPD to issue tickets instead of arrest for weed possession, report says",775,3
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,0
Michael Phelps’ alleged girlfriend says she was born intersex,1849,3
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,3
How did a Texas plumber's truck end up with Syrian rebels? (+video),2174,3
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,992,3
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2526,3
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,3
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,2097,3
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2045,3
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1212,3
Islamic State flying three jets in Syria: monitor,777,3
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,2084,2
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,213,3
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,2
Former U.S. soldier says IS used chemical weapons in Kobani,1758,3
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,3
Eyewitness Says Viral Video of Homeless Man Was Staged,1681,3
New Audio Shows Michael Brown Was Shot at 11 Times,900,3
Meteorite strike in Nicaragua puzzles experts,40,3
Hunt for 'cruel' owner who abandoned dog at train station,36,3
Met police denies reports of Banksy arrest,949,0
Video: Marine saved by helmet after Taliban sniper attack,488,0
